id,file,status,error
46,kernelbench/level1/50_conv_standard_2D__square_input__square_kernel.py,PASS,
47,kernelbench/level1/51_Argmax_over_a_dimension.py,PASS,
48,kernelbench/level1/52_Argmin_over_a_dimension.py,PASS,
49,kernelbench/level1/53_Min_reduction_over_a_dimension.py,PASS,
50,kernelbench/level1/54_conv_standard_3D__square_input__square_kernel.py,PASS,
51,kernelbench/level1/55_conv_standard_2D__asymmetric_input__square_kernel.py,PASS,
52,kernelbench/level1/56_conv_standard_2D__asymmetric_input__asymmetric_kernel.py,PASS,
53,kernelbench/level1/57_conv_transposed_2D__square_input__square_kernel.py,PASS,
54,kernelbench/level1/58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,PASS,
55,kernelbench/level1/59_conv_standard_3D__asymmetric_input__square_kernel.py,PASS,
56,kernelbench/level1/5_Matrix_scalar_multiplication.py,PASS,
57,kernelbench/level1/60_conv_standard_3D__square_input__asymmetric_kernel.py,PASS,
58,kernelbench/level1/61_conv_transposed_3D__square_input__square_kernel.py,PASS,
59,kernelbench/level1/62_conv_standard_2D__square_input__asymmetric_kernel.py,PASS,
60,kernelbench/level1/63_conv_standard_2D__square_input__square_kernel.py,PASS,
61,kernelbench/level1/64_conv_transposed_1D.py,PASS,
62,kernelbench/level1/65_conv_transposed_2D__square_input__asymmetric_kernel.py,PASS,
63,kernelbench/level1/66_conv_standard_3D__asymmetric_input__asymmetric_kernel.py,PASS,
64,kernelbench/level1/67_conv_standard_1D.py,PASS,
65,kernelbench/level1/68_conv_transposed_3D__square_input__asymmetric_kernel.py,PASS,
66,kernelbench/level1/69_conv_transposed_2D__asymmetric_input__asymmetric_kernel.py,PASS,
67,kernelbench/level1/6_Matmul_with_large_K_dimension_.py,PASS,
68,kernelbench/level1/70_conv_transposed_3D__asymmetric_input__square_kernel.py,PASS,
69,kernelbench/level1/71_conv_transposed_2D__asymmetric_input__square_kernel.py,PASS,
70,kernelbench/level1/72_conv_transposed_3D_asymmetric_input_asymmetric_kernel___strided_padded_grouped_.py,PASS,
71,kernelbench/level1/73_conv_transposed_3D_asymmetric_input_square_kernel__strided_padded__grouped.py,PASS,
72,kernelbench/level1/74_conv_transposed_1D_dilated.py,PASS,
73,kernelbench/level1/75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,PASS,
74,kernelbench/level1/76_conv_standard_1D_dilated_strided__.py,PASS,
75,kernelbench/level1/77_conv_transposed_3D_square_input_square_kernel___padded____dilated____strided__.py,PASS,
76,kernelbench/level1/78_conv_transposed_2D_asymmetric_input_asymmetric_kernel___padded__.py,PASS,
77,kernelbench/level1/79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__.py,PASS,
78,kernelbench/level1/7_Matmul_with_small_K_dimension_.py,PASS,
79,kernelbench/level1/80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,PASS,
80,kernelbench/level1/81_conv_transposed_2D_asymmetric_input_square_kernel___dilated____padded____strided__.py,PASS,
81,kernelbench/level1/82_conv_depthwise_2D_square_input_square_kernel.py,PASS,
82,kernelbench/level1/83_conv_depthwise_2D_square_input_asymmetric_kernel.py,PASS,
83,kernelbench/level1/84_conv_depthwise_2D_asymmetric_input_square_kernel.py,PASS,
84,kernelbench/level1/85_conv_depthwise_2D_asymmetric_input_asymmetric_kernel.py,PASS,
85,kernelbench/level1/86_conv_depthwise_separable_2D.py,PASS,
86,kernelbench/level1/87_conv_pointwise_2D.py,PASS,
87,kernelbench/level1/88_MinGPTNewGelu.py,PASS,
88,kernelbench/level1/89_cumsum.py,PASS,
89,kernelbench/level1/8_Matmul_with_irregular_shapes_.py,PASS,
90,kernelbench/level1/90_cumprod.py,PASS,
91,kernelbench/level1/91_cumsum_reverse.py,PASS,
92,kernelbench/level1/92_cumsum_exclusive.py,PASS,
93,kernelbench/level1/93_masked_cumsum.py,PASS,
94,kernelbench/level1/94_MSELoss.py,PASS,
95,kernelbench/level1/95_CrossEntropyLoss.py,PASS,
96,kernelbench/level1/96_HuberLoss.py,PASS,
97,kernelbench/level1/97_ScaledDotProductAttention.py,PASS,
98,kernelbench/level1/98_KLDivLoss.py,PASS,
99,kernelbench/level1/99_TripletMarginLoss.py,PASS,
100,kernelbench/level1/9_Tall_skinny_matrix_multiplication_.py,PASS,
101,kernelbench/level2/100_ConvTranspose3d_Clamp_Min_Divide.py,PASS,
102,kernelbench/level2/10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh.py,PASS,
103,kernelbench/level2/11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm.py,PASS,
104,kernelbench/level2/12_Gemm_Multiply_LeakyReLU.py,PASS,
105,kernelbench/level2/13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling.py,PASS,
106,kernelbench/level2/14_Gemm_Divide_Sum_Scaling.py,PASS,
107,kernelbench/level2/15_ConvTranspose3d_BatchNorm_Subtract.py,PASS,
108,kernelbench/level2/16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling.py,PASS,
109,kernelbench/level2/17_Conv2d_InstanceNorm_Divide.py,PASS,
110,kernelbench/level2/18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp.py,PASS,
111,kernelbench/level2/19_ConvTranspose2d_GELU_GroupNorm.py,PASS,
112,kernelbench/level2/1_Conv2D_ReLU_BiasAdd.py,PASS,
113,kernelbench/level2/20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd.py,PASS,
114,kernelbench/level2/21_Conv2d_Add_Scale_Sigmoid_GroupNorm.py,PASS,
115,kernelbench/level2/22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish.py,PASS,
116,kernelbench/level2/23_Conv3d_GroupNorm_Mean.py,PASS,
117,kernelbench/level2/24_Conv3d_Min_Softmax.py,PASS,
118,kernelbench/level2/25_Conv2d_Min_Tanh_Tanh.py,PASS,
119,kernelbench/level2/26_ConvTranspose3d_Add_HardSwish.py,PASS,
120,kernelbench/level2/27_Conv3d_HardSwish_GroupNorm_Mean.py,PASS,
121,kernelbench/level2/28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply.py,PASS,
122,kernelbench/level2/29_Matmul_Mish_Mish.py,PASS,
123,kernelbench/level2/2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide.py,PASS,
124,kernelbench/level2/30_Gemm_GroupNorm_Hardtanh.py,PASS,
125,kernelbench/level2/31_Conv2d_Min_Add_Multiply.py,PASS,
126,kernelbench/level2/32_Conv2d_Scaling_Min.py,PASS,
127,kernelbench/level2/33_Gemm_Scale_BatchNorm.py,PASS,
128,kernelbench/level2/34_ConvTranspose3d_LayerNorm_GELU_Scaling.py,PASS,
129,kernelbench/level2/35_Conv2d_Subtract_HardSwish_MaxPool_Mish.py,PASS,
130,kernelbench/level2/36_ConvTranspose2d_Min_Sum_GELU_Add.py,PASS,
131,kernelbench/level2/37_Matmul_Swish_Sum_GroupNorm.py,PASS,
132,kernelbench/level2/38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply.py,PASS,
133,kernelbench/level2/39_Gemm_Scale_BatchNorm.py,PASS,
134,kernelbench/level2/3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU.py,PASS,
135,kernelbench/level2/40_Matmul_Scaling_ResidualAdd.py,PASS,
136,kernelbench/level2/41_Gemm_BatchNorm_GELU_ReLU.py,PASS,
137,kernelbench/level2/42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply.py,PASS,
138,kernelbench/level2/43_Conv3d_Max_LogSumExp_ReLU.py,PASS,
139,kernelbench/level2/44_ConvTranspose2d_Multiply_GlobalAvgPool_GlobalAvgPool_Mean.py,PASS,
140,kernelbench/level2/45_Gemm_Sigmoid_LogSumExp.py,PASS,
141,kernelbench/level2/46_Conv2d_Subtract_Tanh_Subtract_AvgPool.py,PASS,
142,kernelbench/level2/47_Conv3d_Mish_Tanh.py,PASS,
143,kernelbench/level2/48_Conv3d_Scaling_Tanh_Multiply_Sigmoid.py,PASS,
144,kernelbench/level2/49_ConvTranspose3d_Softmax_Sigmoid.py,PASS,
145,kernelbench/level2/4_Conv2d_Mish_Mish.py,PASS,
146,kernelbench/level2/50_ConvTranspose3d_Scaling_AvgPool_BiasAdd_Scaling.py,PASS,
147,kernelbench/level2/51_Gemm_Subtract_GlobalAvgPool_LogSumExp_GELU_ResidualAdd.py,PASS,
148,kernelbench/level2/52_Conv2d_Activation_BatchNorm.py,PASS,
149,kernelbench/level2/53_Gemm_Scaling_Hardtanh_GELU.py,PASS,
150,kernelbench/level2/54_Conv2d_Multiply_LeakyReLU_GELU.py,PASS,
151,kernelbench/level2/55_Matmul_MaxPool_Sum_Scale.py,PASS,
152,kernelbench/level2/56_Matmul_Sigmoid_Sum.py,PASS,
153,kernelbench/level2/57_Conv2d_ReLU_HardSwish.py,PASS,
154,kernelbench/level2/58_ConvTranspose3d_LogSumExp_HardSwish_Subtract_Clamp.py,PASS,
155,kernelbench/level2/59_Matmul_Swish_Scaling.py,PASS,
156,kernelbench/level2/5_ConvTranspose2d_Subtract_Tanh.py,PASS,
157,kernelbench/level2/60_ConvTranspose3d_Swish_GroupNorm_HardSwish.py,PASS,
158,kernelbench/level2/61_ConvTranspose3d_ReLU_GroupNorm.py,PASS,
159,kernelbench/level2/62_Matmul_GroupNorm_LeakyReLU_Sum.py,PASS,
160,kernelbench/level2/63_Gemm_ReLU_Divide.py,PASS,
161,kernelbench/level2/64_Gemm_LogSumExp_LeakyReLU_LeakyReLU_GELU_GELU.py,PASS,
162,kernelbench/level2/65_Conv2d_AvgPool_Sigmoid_Sum.py,PASS,
163,kernelbench/level2/66_Matmul_Dropout_Softmax.py,PASS,
164,kernelbench/level2/67_Conv2d_GELU_GlobalAvgPool.py,PASS,
165,kernelbench/level2/68_Matmul_Min_Subtract.py,PASS,
166,kernelbench/level2/69_Conv2d_HardSwish_ReLU.py,PASS,
167,kernelbench/level2/6_Conv3d_Softmax_MaxPool_MaxPool.py,PASS,
168,kernelbench/level2/70_Gemm_Sigmoid_Scaling_ResidualAdd.py,PASS,
169,kernelbench/level2/71_Conv2d_Divide_LeakyReLU.py,PASS,
170,kernelbench/level2/72_ConvTranspose3d_BatchNorm_AvgPool_AvgPool.py,PASS,
171,kernelbench/level2/73_Conv2d_BatchNorm_Scaling.py,PASS,
172,kernelbench/level2/74_ConvTranspose3d_LeakyReLU_Multiply_LeakyReLU_Max.py,PASS,
173,kernelbench/level2/75_Gemm_GroupNorm_Min_BiasAdd.py,PASS,
174,kernelbench/level2/76_Gemm_Add_ReLU.py,PASS,
175,kernelbench/level2/77_ConvTranspose3d_Scale_BatchNorm_GlobalAvgPool.py,PASS,
176,kernelbench/level2/78_ConvTranspose3d_Max_Max_Sum.py,PASS,
177,kernelbench/level2/79_Conv3d_Multiply_InstanceNorm_Clamp_Multiply_Max.py,PASS,
178,kernelbench/level2/7_Conv3d_ReLU_LeakyReLU_GELU_Sigmoid_BiasAdd.py,PASS,
179,kernelbench/level2/80_Gemm_Max_Subtract_GELU.py,PASS,
180,kernelbench/level2/81_Gemm_Swish_Divide_Clamp_Tanh_Clamp.py,PASS,
181,kernelbench/level2/82_Conv2d_Tanh_Scaling_BiasAdd_Max.py,PASS,
182,kernelbench/level2/83_Conv3d_GroupNorm_Min_Clamp_Dropout.py,PASS,
183,kernelbench/level2/84_Gemm_BatchNorm_Scaling_Softmax.py,PASS,
184,kernelbench/level2/85_Conv2d_GroupNorm_Scale_MaxPool_Clamp.py,PASS,
185,kernelbench/level2/86_Matmul_Divide_GELU.py,PASS,
186,kernelbench/level2/87_Conv2d_Subtract_Subtract_Mish.py,PASS,
187,kernelbench/level2/88_Gemm_GroupNorm_Swish_Multiply_Swish.py,PASS,
188,kernelbench/level2/89_ConvTranspose3d_MaxPool_Softmax_Subtract_Swish_Max.py,PASS,
189,kernelbench/level2/8_Conv3d_Divide_Max_GlobalAvgPool_BiasAdd_Sum.py,PASS,
190,kernelbench/level2/90_Conv3d_LeakyReLU_Sum_Clamp_GELU.py,PASS,
191,kernelbench/level2/91_ConvTranspose2d_Softmax_BiasAdd_Scaling_Sigmoid.py,PASS,
192,kernelbench/level2/92_Conv2d_GroupNorm_Tanh_HardSwish_ResidualAdd_LogSumExp.py,PASS,
193,kernelbench/level2/93_ConvTranspose2d_Add_Min_GELU_Multiply.py,PASS,
194,kernelbench/level2/94_Gemm_BiasAdd_Hardtanh_Mish_GroupNorm.py,PASS,
195,kernelbench/level2/95_Matmul_Add_Swish_Tanh_GELU_Hardtanh.py,PASS,
196,kernelbench/level2/96_ConvTranspose3d_Multiply_Max_GlobalAvgPool_Clamp.py,PASS,
197,kernelbench/level2/97_Matmul_BatchNorm_BiasAdd_Divide_Swish.py,PASS,
198,kernelbench/level2/98_Matmul_AvgPool_GELU_Scale_Max.py,PASS,
199,kernelbench/level2/99_Matmul_GELU_Softmax.py,PASS,
200,kernelbench/level2/9_Matmul_Subtract_Multiply_ReLU.py,PASS,
201,kernelbench/level3/10_ResNet101.py,PASS,
202,kernelbench/level3/11_VGG16.py,PASS,
203,kernelbench/level3/12_VGG19.py,PASS,
204,kernelbench/level3/13_DenseNet121TransitionLayer.py,PASS,
205,kernelbench/level3/14_DenseNet121DenseBlock.py,PASS,
206,kernelbench/level3/15_DenseNet121.py,PASS,
207,kernelbench/level3/16_DenseNet201.py,PASS,
208,kernelbench/level3/17_SqueezeNetFireModule.py,PASS,
209,kernelbench/level3/18_SqueezeNet.py,PASS,
210,kernelbench/level3/19_MobileNetV1.py,PASS,
211,kernelbench/level3/1_MLP.py,PASS,
212,kernelbench/level3/20_MobileNetV2.py,PASS,
213,kernelbench/level3/21_EfficientNetMBConv.py,PASS,
214,kernelbench/level3/22_EfficientNetB0.py,PASS,
215,kernelbench/level3/23_EfficientNetB1.py,PASS,
216,kernelbench/level3/24_EfficientNetB2.py,PASS,
217,kernelbench/level3/25_ShuffleNetUnit.py,PASS,
218,kernelbench/level3/26_ShuffleNet.py,PASS,
219,kernelbench/level3/27_RegNet.py,PASS,
220,kernelbench/level3/28_VisionTransformer.py,PASS,
221,kernelbench/level3/29_SwinMLP.py,PASS,
222,kernelbench/level3/2_ShallowWideMLP.py,PASS,
223,kernelbench/level3/30_SwinTransformerV2.py,PASS,
224,kernelbench/level3/31_VisionAttention.py,PASS,
225,kernelbench/level3/32_ConvolutionalVisionTransformer.py,PASS,
226,kernelbench/level3/33_VanillaRNN.py,PASS,
227,kernelbench/level3/34_VanillaRNNHidden.py,PASS,
228,kernelbench/level3/35_LSTM.py,PASS,
229,kernelbench/level3/36_LSTMHn.py,PASS,
230,kernelbench/level3/37_LSTMCn.py,PASS,
231,kernelbench/level3/38_LSTMBidirectional.py,PASS,
232,kernelbench/level3/39_GRU.py,PASS,
233,kernelbench/level3/3_DeepNarrowMLP.py,PASS,
234,kernelbench/level3/40_GRUHidden.py,PASS,
235,kernelbench/level3/41_GRUBidirectional.py,PASS,
236,kernelbench/level3/42_GRUBidirectionalHidden.py,PASS,
237,kernelbench/level3/43_MinGPTCausalAttention.py,PASS,
238,kernelbench/level3/44_MiniGPTBlock.py,PASS,
239,kernelbench/level3/45_UNetSoftmax.py,PASS,
240,kernelbench/level3/46_NetVladWithGhostClusters.py,PASS,
241,kernelbench/level3/47_NetVladNoGhostClusters.py,PASS,
242,kernelbench/level3/48_Mamba2ReturnY.py,PASS,
243,kernelbench/level3/49_Mamba2ReturnFinalState.py,PASS,
244,kernelbench/level3/4_LeNet5.py,PASS,
245,kernelbench/level3/50_ReLUSelfAttention.py,PASS,
246,kernelbench/level3/5_AlexNet.py,PASS,
247,kernelbench/level3/6_GoogleNetInceptionModule.py,PASS,
248,kernelbench/level3/7_GoogleNetInceptionV1.py,PASS,
249,kernelbench/level3/8_ResNetBasicBlock.py,PASS,
250,kernelbench/level3/9_ResNet18.py,PASS,
251,kernelbench/level4/10_google-bigbird-roberta-base_bs1024_seq32.py,PASS,
252,kernelbench/level4/11_google-electra-small-discriminator_bs1_seq511.py,PASS,
253,kernelbench/level4/12_google-electra-small-discriminator_bs1024_seq32.py,PASS,
254,kernelbench/level4/13_google-reformer-enwik8_bs32_seq256.py,PASS,
255,kernelbench/level4/14_google-electra-small-discriminator_bs32_seq256.py,PASS,
256,kernelbench/level4/15_google-reformer-enwik8_bs1024_seq32.py,PASS,
257,kernelbench/level4/16_gpt2_bs1_seq1023.py,PASS,
258,kernelbench/level4/17_facebook-bart-large_bs1024_seq32.py,PASS,
259,kernelbench/level4/18_EleutherAI-gpt-neo-2p7B_bs512_seq32.py,PASS,
260,kernelbench/level4/19_gpt2_bs1024_seq32.py,PASS,
261,kernelbench/level4/1_EleutherAI-gpt-neo-2p7B_bs32_seq256.py,PASS,
262,kernelbench/level4/20_facebook-bart-large_bs32_seq256.py,PASS,
263,kernelbench/level4/2_facebook-opt-1p3b_bs1_seq2047.py,PASS,
264,kernelbench/level4/3_EleutherAI-gpt-neo-2p7B_bs1_seq2047.py,PASS,
265,kernelbench/level4/4_facebook-opt-1p3b_bs32_seq256.py,PASS,
266,kernelbench/level4/5_google-bigbird-roberta-base_bs1_seq4095.py,PASS,
267,kernelbench/level4/6_facebook-bart-large_bs1_seq1023.py,PASS,
268,kernelbench/level4/7_gpt2_bs32_seq256.py,PASS,
269,kernelbench/level4/8_facebook-opt-1p3b_bs512_seq32.py,PASS,
270,kernelbench/level4/9_google-bigbird-roberta-base_bs32_seq256.py,PASS,
271,torchleet-llms/Byte-Pair-Encoder.py,PASS,
272,torchleet-llms/Create-Embeddings-out-of-an-LLM copy.py,PASS,
273,torchleet-llms/Flash-Attention.py,PASS,
274,torchleet-llms/Grouped-Query-Attention.py,PASS,
275,torchleet-llms/Implement-Attention-from-Scratch.py,PASS,
276,torchleet-llms/Multi-Head-Attention.py,PASS,
277,torchleet-llms/RMS-Norm.py,PASS,
278,torchleet-llms/Rotary-Positional-Embedding.py,PASS,
279,torchleet-llms/Sinusoidal-Positional-Embedding.py,PASS,
280,torchleet-llms/SmolLM.py,PASS,
281,torchleet-problems/3dcnn.py,PASS,
282,torchleet-problems/GAN.py,PASS,
283,torchleet-problems/augmentation.py,PASS,
284,torchleet-problems/autoencoder.py,PASS,
285,torchleet-problems/benchmark.py,PASS,
286,torchleet-problems/cnn-param-init.py,PASS,
287,torchleet-problems/custom-DNN.py,PASS,
288,torchleet-problems/custom-activation.py,PASS,
289,torchleet-problems/custom-autograd.py,PASS,
290,torchleet-problems/custom-dataset.py,PASS,
291,torchleet-problems/custom-loss.py,PASS,
292,torchleet-problems/lin-regression.py,PASS,
293,torchleet-problems/lstm.py,PASS,
294,torchleet-problems/quantize-lm.py,PASS,
295,torchleet-problems/rnn.py,PASS,
296,torchleet-problems/save-model.py,PASS,
297,torchleet-problems/seq-seq.py,PASS,
298,torchleet-problems/tensorboard.py,PASS,
299,torchleet-problems/transformer.py,PASS,
300,torchleet-problems/xai.py,PASS,
